Name,Phone,Address,Fax,Program
"Ocwen Financial Corporation, Inc.",800-746-2936,"1661 Worthington Rd Ste 100 
West Palm Beach, FL 33409",407-737-6174,HAMPTreasury FHA-HAMP
OneWest Bank,800-781-7399,"Indymac - 1, 2900 Esperanza Crossing 
Austin, TX 78758",866-235-2366,HAMP2MP
ORNL Federal Credit Union,800-676-5328,"Attn: Mortgage Modification Dept 
221 S. Rutgers Avenue Oak Ridge, TN 37830",865-481-5810,HAMP
Park View Federal Savings Bank,440-914-3900,"30000 Aurora Road, Solon, OH 44139",440-914-3656,HAMP
Pathfinder Bank,1-315-343-0057,"214 West First Street, Oswego, NY 13126",1-315-207-8035,HAMP
"PennyMac Loan Services, LLC",866-545-9070,"Attn: Karen Denton
27001 Aguora Road, Suite 350 
Calabasas, CA 91301",818-224-7510,HAMPTreasury FHA-HAMP2MP
"PNC Bank, National Association",800-523-8654,"3232 Newmark Drive 
Miamisburg, OH 45342",937-910-4009,HAMP2MPFHA-2LP
Purdue Employees Federal Credit Union,800-627-3328,"P.O. Box 1950 
West Layette IN 47996-1950",765-497-7477,HAMP
"Q lending, Inc.",517-439-6121,"1 Corporate Drive, 
Suite 360
Lake Zurich, IL 60047",847-574-7658,HAMP
Quantum Servicing Corporation,813-371-0270,"6302 E. MLK Blvd.,
Suite 300
Tampa, FL 33619",,HAMP
RBC Bank (USA),1-866-777-2179,"3201 Beechleaf Court
Raleigh, NC 27604",1-877-530-0765,Treasury FHA-HAMP
Residential Credit Solutions,800-737-1192,"P.O. Box 163289
Fort Worth, TX 76161-3289",888-775-7250,HAMPTreasury FHA-HAMP2MPFHA-2LP
RG Mortgage Corporation,888-264-4674,"PO Box 362394 
San Juan, PR. 00936-2394",787-756-2845,HAMP
RoundPoint Mortgage Servicing Corporation,877-426-8805,"P.O. Box 19409 
Charlotte, NC 28219-9409",888-364-5558,HAMP
Saxon Mortgage Services,800-594-8422,"Saxon Attention: Home Preservation HMP Documentation Department 4708 Mercantile Drive 
North Fort Worth, TX 76137",888-240-1885,HAMPTreasury FHA-HAMPFHA-2LP
Schmidt Mortgage Company,1-800-686-3600,"20545 Center Ridge Rd. 250, 
Rocky River, OH 44116",1-440-895-2181,Treasury FHA-HAMP
Schools Financial Credit Union,800-962-0990,"C/O Real Estate Department 1485 Response Rd Suite 126 
Sacramento CA, 95815",916-569-2047,HAMP
SEFCU,866-733-2880,"700 Patroon Creek Blvd 
Albany, NY 12206",518-464-5213,HAMP
Select Portfolio Servicing,888-818-6032,"PO BOX:65250 
Salt Lake City, UT 84165-0250
3815 S. West Temple
Salt Lake City, UT 84107",801-293-3936,HAMPTreasury FHA-HAMPFHA-2LP
"Servis One Inc.,dba BSI Financial Services, Inc",866-209-4178,"Attn: HAMP Department
P.O. Box 517, 314 S. Franklin Street, 
Titusville, PA 16354",814-217-1366,HAMPTreasury FHA-HAMP2MP
ShoreBank,800-905-7725,"Attn: Kenisha Davis
3401 South King Drive, 
Chicago, IL 60466",773-420-4501,HAMP
Silver State Schools Credit Union,800-357-9654,"1 Corporate Drive Suite 360 
Lake Zurich, IL 60047",847-574-7658,HAMP
"Specialized Loan Servicing, LLC",800-315-4757,"8742 Lucent Blvd., Suite 300, Highlands Ranch, CO 80129",720-241-7526,HAMP
Sterling Savings Bank,800-772-7791,"Attn: Tram Le
111 N. Wall, 
Spokane, WA 99201",509-624-8038,HAMP
Stockman Bank of Montana,1-406-234-8420,"700 Main Street, 
Miles City, MT 59301",1-406-234-8419,Treasury FHA-HAMP
Suburban Mortgage Company of New Mexico,1-505-298-7456,"3707 Eubank Blvd. N./E.
Albuquerque, NM",1-505-292-4915,HAMP
Technology Credit Union,800-553-0880,"Attn: LAD
2010 N First Street 
San Jose, CA 95131",408-453-8742,HAMP
The Golden 1 Credit Union,800-553-0880,"8945 Cal Center Drive 
Sacramento, CA 95826",847-574-7658,HAMP
U.S. Bank National Association,866-932-0462,"P.O. BOX  20005 
OWENSBORO, KY 42304-0005",,HAMP
United Bank,1-715-835-6865,"3625 Gateway Dr. 
Eau Claire, WI 54701",715-835-6870,HAMP
United Bank Mortgage Corporation,800-968-1990,"900 East Paris SE, Grand Rapids MI 49546",616-559-4631,HAMP
"Vantium Capital, Inc.",866-660-5804,"6500 International Parkway Suite 1500 
Plano, TX 75093",972-444-3356,HAMP
Vist Financial Corp.,,"1240 Broadcasting Rd.
Wyomissing, PA 19605",,HAMP
Wealthbridge Mortgage Corp.,866-702-4865,"15455 NW Greenbrier Pkwy, Ste 111, Beaverton, OR 97006",503-597-7518,HAMP
"Wells Fargo Bank, NA (includes: Wachovia Bank, NA and Wachovia Mortgage, FSB)",800-678-7986,"HAMP Application Documents
1000 Blue Gentian Road
Suite 300 X9999-01N
Eagan MN 55121
Customer Service Correspondence
PO Box 10335
MAC: X2302-017
Des Moines, IA 50306",866-359-7363,HAMPTreasury FHA-HAMPRD-HAMP2MPFHA-2LP
"Weststar Mortgage, Inc.",1-703-497-3995,"3350 Commission Ct, 
Woodbridge, VA 22192",1-703-643-1002,Treasury FHA-HAMP
Wilshire Credit Corporation,800-720-3758,"PO Box 8517 
Portland, OR 97207-8517",866-382-0489,HAMP
Yadkin Valley Bank,336-258-6252,"PO Box 96 
Pfafftown, NC 27040",336-258-6252,HAMP
